Symbol,Direction,Entry Time,Exit Time,Entry Price,Exit Price,Exit Reason,Net PnL,Fee,Equity After
SOL_USDT,short,2025-03-27 03:00:00,2025-03-27 04:00:00,139.4,140.00123347882612,stop_loss,-76.29035502728829,11.95837279289376,3102.64860073492
ETH_USDT,short,2025-03-28 07:30:00,2025-03-31 15:00:00,1917.31,1851.0042815692773,stop_loss,98.49355693150433,2.2911350831941206,3201.1421576664243
SOL_USDT,short,2025-03-27 04:30:00,2025-03-31 15:00:00,139.44,127.74678912917341,stop_loss,1286.0833132244163,11.8630934373353,4487.22547089084
SOL_USDT,long,2025-03-31 15:30:00,2025-04-01 12:30:00,127.46,126.57861365766043,stop_loss,-20.64303754385526,2.1339243547243476,4466.582433346985
SOL_USDT,short,2025-04-06 19:30:00,2025-04-07 13:30:00,107.8,104.59011282497414,stop_loss,59.37369146802145,1.6141648574698038,4525.956124815007
ETH_USDT,short,2025-04-06 17:30:00,2025-04-07 14:00:00,1699.89,1594.5899345748685,stop_loss,142.45571462828326,1.8053750041470282,4668.41183944329
SOL_USDT,long,2025-04-08 02:30:00,2025-04-08 15:30:00,112.06,107.23415984100478,stop_loss,-73.70336734397434,1.3157649590460287,4594.708472099315
ETH_USDT,long,2025-04-10 00:30:00,2025-04-10 07:30:00,1652.79,1591.4892678954243,stop_loss,-93.89766571760077,1.9465675607372546,4500.810806381714
SOL_USDT,long,2025-04-10 02:30:00,2025-04-10 10:00:00,117.33,113.95954189309383,stop_loss,-93.50029593891202,2.497927052445413,4407.310510442802
ETH_USDT,long,2025-04-12 15:30:00,2025-04-13 01:30:00,1660.43,1614.5984411954075,stop_loss,-86.74048913317007,2.4104209327198203,4320.5700213096325
ETH_USDT,long,2025-04-13 02:00:00,2025-04-13 02:30:00,1617.16,1609.89,stop_loss,-123.87506539999973,18.678165400000005,4196.694955909633
SOL_USDT,long,2025-04-11 14:30:00,2025-04-13 20:30:00,118.97,126.78326362041562,stop_loss,223.73390713405632,2.8507378579968212,4420.4288630436895
SOL_USDT,long,2025-04-14 02:30:00,2025-04-14 15:00:00,133.63,129.76811127043337,stop_loss,-43.63972771482283,1.1589516895899068,4376.789135328867
SOL_USDT,short,2025-04-16 10:30:00,2025-04-16 14:30:00,125.55,127.81478349835005,stop_loss,-89.91291764647704,3.8511447091749207,4286.87621768239
SOL_USDT,short,2025-04-16 15:00:00,2025-04-16 15:30:00,127.78,129.17,stop_loss,-249.29425999999773,17.164260000000002,4037.5819576823924
SOL_USDT,long,2025-04-19 14:30:00,2025-04-19 16:30:00,139.65,137.8147130706683,stop_loss,-68.1195485095994,3.884505982989356,3969.462409172793
SOL_USDT,long,2025-04-19 17:00:00,2025-04-20 10:30:00,137.98,138.59336956771648,stop_loss,71.89185144418461,15.819996739273382,4041.3542606169776
ETH_USDT,short,2025-04-20 18:30:00,2025-04-20 20:00:00,1580.11,1594.6114272005343,stop_loss,-88.79250779306432,7.149472654055604,3952.561752823913
ETH_USDT,short,2025-04-20 20:30:00,2025-04-20 21:00:00,1593.77,1590.1628639973278,take_profit,28.889508170566792,15.76683554251477,3981.45126099448
SOL_USDT,short,2025-04-20 11:30:00,2025-04-21 00:00:00,137.05,138.97473930330685,stop_loss,-46.80843157764766,2.5394276015904236,3934.6428294168322
ETH_USDT,long,2025-04-21 07:30:00,2025-04-21 11:00:00,1643.73,1619.6410725181456,stop_loss,-74.40522841882465,3.824670896991267,3860.2376009980076
SOL_USDT,long,2025-04-21 01:30:00,2025-04-21 11:00:00,141.07,138.39678358484693,stop_loss,-80.76509072902309,3.241814689584224,3779.4725102689845
ETH_USDT,long,2025-04-21 11:30:00,2025-04-21 13:00:00,1624.6,1619.6410725181456,stop_loss,-72.7645360833198,15.092209469354412,3706.7079741856646
